id_entidad,entidad_norm,nit_entidad,departamento,ciudad,orden,sector
2506,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD DE ANDES ANTIOQUIA INPEC,811010135,Antioquia,Andes,Nacional,Ley de Justicia
2507,EAAAP COMPRADOR,800111304,Putumayo,Puerto Asís,Territorial,"Vivienda, Ciudad y Territorio"
2508,ASOCIACION AFRODESCENDIENTE UNIDA,9010343207,Boyacá,Cubará,Territorial,Cultura
2509,BATALLON DE APOYO Y SERVICIOS PARA EL COMBATE NO 26,838000326,Amazonas,Leticia,Nacional,defensa
2510,CONTRALORIA DEPARTAMENTAL DEL GUAINIA,8920004959,Guainía,Inírida,Territorial,No aplica/No pertenece
2511,FONVISOG,800200612,Boyacá,Sogamoso,Territorial,"Vivienda, Ciudad y Territorio"
2512,CONCEJO MUNICIPAL DE BARICHARA,8902109321,Santander,Barichara,Territorial,No aplica/No pertenece
2513,CONCEJO MUNICIPAL CONTRATACION SANTANDER,890206058,Santander,Contratación,Territorial,No aplica/No pertenece
2514,CENACCALI,800130690,Valle del Cauca,Cali,Nacional,defensa
2515,CONCEJO MUNICIPAL DE CIRCASIA,890001044,Quindío,Circasia,Territorial,No aplica/No pertenece
2516,MUNICIPIO DE CONCEPCION,800104060,No Definido,No Definido,Territorial,Servicio Público
2517,RASES 8,802016407,Atlántico,Soledad,Nacional,Servicio Público
2518,EMPRESA DE SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO DE SUAITA,901142488,Santander,Suaita,Territorial,No aplica/No pertenece
2519,PERSONERIA MUNICIPAL DE EBEJICO,890983664,Antioquia,Ebéjico,Territorial,Ley de Justicia
2520,CONCEJO MUNICIPAL DE CUCAITA,891802089,Boyacá,Cucaita,Territorial,No aplica/No pertenece
2521,EMPRESA PARA LA SEGURIDAD Y SOLUCIONES URBANAS COMPRADOR,8909847618,Antioquia,Medellín,Territorial,No aplica/No pertenece
2522,ALCALDIA MUNICIPIO DE SITIONUEVO,891780103,Magdalena,Sitionuevo,Nacional,Servicio Público
2523,SECRETARIA DE EDUCACION ALCALDIA DE TULUA,891900272,Valle del Cauca,Tuluá,Territorial,Servicio Público
2524,INSTITUCION EDUCATIVA LOS ANDES DE CUAICAL,900081185,Nariño,Cumbal,Territorial,Educación Nacional
2525,CONCEJO MUNICIPAL DE PROVIDENCIA,8140004994,Nariño,Providencia,Corporación Autónoma,No aplica/No pertenece
2526,CONCEJO MUNICIPAL DE QUIMBAYA QUINDIO,8900006134,Quindío,Quimbaya,Territorial,Servicio Público
2527,ALCALDIA DE SANTO TOMAS ATLANTICO,800116284,Atlántico,Santo Tomás,Territorial,No aplica/No pertenece
2528,CGR GERENCIA DEPARTAMENTAL HUILA,899999067,Huila,Neiva,Nacional,No aplica/No pertenece
2529,INSTITUCION EDUCATIVA EL SALVADOR,811017439,No Definido,No Definido,Nacional,Educación Nacional
2530,INSTITUCION EDUCATIVA MAYOR DE MOSQUERA,832005423,Cundinamarca,Mosquera,Territorial,Educación Nacional
2531,CONCEJO MUNICIPAL DE PENSILVANIA,890801137,Caldas,Pensilvania,Nacional,No aplica/No pertenece
2532,GOBERNACION DEL VALLE DEL CAUCA SECRETARIA DE DESARROLLO RURAL AGRICULTURA Y PESCA,8903990295,Valle del Cauca,Cali,Territorial,agricultura
2533,PERSONERIA MUNICIPAL DE FLORENCIA,8002524061,Caquetá,Florencia,Territorial,Ley de Justicia
2534,MUNICIPIO DE MARMATO CALDAS,8908011456,Caldas,Marmato,Territorial,No aplica/No pertenece
2535,INSTITUCION EDUCATIVA TECNICA SAN LUIS BELTRAN,800138495,Boyacá,Covarachía,Territorial,Educación Nacional
2536,INSTITUCION EDUCATIVA LA FLORIDA,800124367,Tolima,Rovira,Territorial,Educación Nacional
2537,PERSONERIA MUNICIPAL DE MONGUI,891856555,Boyacá,Monguí,Territorial,No aplica/No pertenece
2538,DEPARTAMENTO DE CUNDINAMARCA SECRETARIA DE ENERGIAS Y MINERIA SOSTENIBLE,899999114,Distrito Capital de Bogotá,Bogotá,Territorial,Minas y Energía
2539,ASAMBLEA DEPARTAMENTAL DEL QUINDIO,8900016391,Quindío,Armenia,Territorial,Servicio Público
2540,EMPRESA MUNICIPAL DE ASEO ALCANTARILLADO Y ACUEDUCTO DE FLORIDABLANCA,804002215,Santander,Floridablanca,Territorial,No aplica/No pertenece
2541,SECRETARIA DE HABITAT E INFRAESTRUCTURA ALCALDIA DE TULUA,891900272,Valle del Cauca,Tuluá,Territorial,Servicio Público
2542,CONTRALORIA GENERAL DE LA REPUBLICA CGR GERENCIA DEPARTAMENTAL SAN ANDRES,899999067,"San Andrés, Providencia y Santa Catalina",San Andrés,Nacional,No aplica/No pertenece
2543,PERSONERIA MUNICIPAL DE SANTA ROSALIA VICHADA,901552719,Vichada,Santa Rosalía,Territorial,No aplica/No pertenece
2544,PERSONERIA MUNICIPAL DE NATAGA HUILA,8911028440,Huila,Nátaga,Territorial,No aplica/No pertenece
2545,MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL NORTE DE SANTANDER,807006594,Norte de Santander,No Definido,Nacional,Trabajo
2546,CONCEJO MUNICIPAL DE LEBRIJA SANTANDER,8040130794,Santander,Lebríja,Corporación Autónoma,Servicio Público
2547,CONCEJO MUNICIPAL DE ALBAN CUNDINAMARCA,899999450,Cundinamarca,Albán,Nacional,No aplica/No pertenece
2548,ESCUELA DE AVIACION POLICIAL,809010745,Tolima,Mariquita,Nacional,defensa
2549,INSTITUCION EDUCATIVA PEDREGAL,900096437,Santander,No Definido,Territorial,Educación Nacional
2550,CONTRALORIA GENERAL DE LA REPUBLICA CGR GERENCIA DEPARTAMENTAL TOLIMA,899999067,Tolima,Ibagué,Nacional,No aplica/No pertenece
2551,FONDO DE BIENESTAR SOCIAL DE EMPLEADOS Y LA ESCUELA DE CAPACITACION DE ALTOS ESTUDIOS FISCALES,9010558698,Magdalena,Santa Marta,Territorial,No aplica/No pertenece
2552,CORPORACION MIXTA PARA EL DESARROLLO INTEGRAL LA SOSTENIBILIDAD SOCIAL Y AMBIENTAL DE LAS REGIONES,901698332,Chocó,Quibdó,Nacional,Ambiente y Desarrollo Sostenible
2553,INSTITUCION EDUCATIVA MARINO RENGIFO SALCEDO,815004606,Valle del Cauca,Candelaria,Territorial,Educación Nacional
2554,ALCALDIA MUNICIPAL DE LA CELIA,891480026,Risaralda,La Celia,Territorial,No aplica/No pertenece
2555,INSTITUCION EDUCATIVA SAN ISIDRO,824001771,Cesar,Curumaní,Territorial,Educación Nacional
2556,EDUR,901521260,Antioquia,El Carmen De Viboral,Territorial,Ambiente y Desarrollo Sostenible
2557,CONCEJO MUNICIPAL DE MARSELLA,800099317,Risaralda,Marsella,Territorial,Servicio Público
2558,INSTITUTO MUNICIPAL DE TURISMO CULTURA Y FOMENTO DE GIRARDOT,890680035,Cundinamarca,Girardot,Territorial,Industria
2559,PERSONERIA MUNICIPAL SAN JOSE DE LA MONTANA,8000226188,Antioquia,San José De La Montaña,Territorial,Servicio Público
2560,IDERCAR,806006217,Bolívar,El Carmen De Bolívar,Territorial,deportes
2561,EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DE ARAUCA EMSERPA E I C E,800113549,No Definido,No Definido,Territorial,Industria
2562,REGION ADMINISTRATIVA Y DE PLANIFICACION RAP DEL AGUA Y LA MONTANA,901665080,Antioquia,Medellín,Territorial,Planeación
2563,CONTRALORIA MUNICIPAL DE TULUA,900623073,Valle del Cauca,Tuluá,Territorial,No aplica/No pertenece
